Model	Type	TrainingTrials	AreaAbs	Pattern3i	CAi_1	CAi_2	CAi_3	CAi_1_2	CAi_1_3	CAi_2_3	CAi_1_2_3
M01	con50sc	4000tt	7	P07	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P07	#	#	#	#	#	#5#	#115#117#560#563#
M01	con50sc	4000tt	9	P07	#82#282#	#419#533#541#	#70#496#595#	#	#	#	#62#
M01	con50sc	4000tt	10	P07	#75#252#	#415#444#495#590#	#619#	#	#	#	#66#613#
M01	con50sc	4000tt	11	P07	#19#	#	#	#94#383#	#	#	#119#210#
M01	con50sc	4000tt	12	P07	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P08	#119#148#224#309#315#604#	#177#399#434#451#526#611#	#7#519#528#542#590#620#	#	#	#	#9#23#311#347#370#429#
M01	con50sc	4000tt	2	P08	#102#107#199#221#278#321#367#401#502#	#73#356#383#408#507#522#	#495#544#592#612#621#	#27#	#374#	#	#104#421#434#
M01	con50sc	4000tt	3	P08	#111#200#340#357#528#	#251#352#373#375#406#582#585#	#62#565#	#77#	#	#600#	#2#133#154#302#329#433#442#506#
M01	con50sc	4000tt	4	P08	#10#	#177#305#350#481#506#529#532#603#	#46#430#521#	#	#	#	#64#87#93#110#138#170#283#607#610#
M01	con50sc	4000tt	5	P08	#326#374#	#152#227#608#	#14#94#599#	#	#	#575#	#3#9#39#164#169#186#240#355#555#
M01	con50sc	4000tt	6	P08	#7#189#222#410#426#586#	#9#37#78#277#380#507#	#70#120#160#173#403#468#	#	#	#	#142#187#209#349#581#617#
M01	con50sc	4000tt	7	P08	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P08	#	#	#	#	#	#	#161#216#494#
M01	con50sc	4000tt	9	P08	#	#	#	#	#	#	#34#90#135#284#
M01	con50sc	4000tt	10	P08	#	#	#	#	#	#	#92#137#180#560#
M01	con50sc	4000tt	11	P08	#	#	#	#	#	#	#18#62#136#
M01	con50sc	4000tt	12	P08	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P09	#62#91#265#392#471#493#	#106#144#345#481#608#622#	#51#155#249#374#386#422#	#	#	#	#40#125#178#286#353#532#
M01	con50sc	4000tt	2	P09	#64#232#415#	#31#303#456#	#249#348#	#127#231#	#	#287#	#79#100#122#226#229#253#302#512#
M01	con50sc	4000tt	3	P09	#368#388#464#	#70#104#583#	#128#151#223#253#323#	#	#	#	#81#86#126#147#206#351#
M01	con50sc	4000tt	4	P09	#197#268#296#511#	#382#418#559#	#151#402#543#596#599#	#	#	#	#100#288#366#440#474#475#493#539#544#
M01	con50sc	4000tt	5	P09	#27#293#342#416#	#58#206#384#488#618#	#178#418#571#	#	#	#	#19#47#381#388#423#465#525#542#
M01	con50sc	4000tt	6	P09	#155#344#367#402#439#575#	#16#283#305#445#535#552#	#208#251#396#499#542#546#	#	#	#	#23#263#417#450#462#625#
M01	con50sc	4000tt	7	P09	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P09	#	#	#	#	#	#	#
M01	con50sc	4000tt	9	P09	#367#543#	#	#	#	#	#	#405#
M01	con50sc	4000tt	10	P09	#	#	#	#	#	#	#347#503#
M01	con50sc	4000tt	11	P09	#	#	#	#	#	#	#
M01	con50sc	4000tt	12	P09	#	#	#	#	#	#	#
M01	con50sc	4000tt	1	P10	#109#190#293#552#569#597#	#46#154#287#441#515#524#	#27#90#201#243#469#520#	#	#	#	#76#193#236#277#408#505#
M01	con50sc	4000tt	2	P10	#70#258#357#504#546#568#	#294#369#416#	#26#142#242#317#	#	#	#	#7#99#191#259#335#336#406#
M01	con50sc	4000tt	3	P10	#94#163#465#598#	#199#240#408#484#584#	#76#165#245#258#265#523#543#	#525#	#	#	#8#80#281#382#454#502#505#
M01	con50sc	4000tt	4	P10	#336#	#229#328#	#291#345#492#	#123#198#220#306#	#224#553#	#	#190#243#315#321#394#420#455#496#
M01	con50sc	4000tt	5	P10	#48#104#198#614#	#237#275#419#454#	#197#345#364#401#447#537#	#375#	#348#	#	#239#247#304#338#354#572#
M01	con50sc	4000tt	6	P10	#72#163#207#258#373#596#	#129#236#255#474#480#561#	#21#60#245#325#465#531#	#	#	#	#94#147#335#366#377#495#
M01	con50sc	4000tt	7	P10	#	#	#	#	#	#	#
M01	con50sc	4000tt	8	P10	#	#	#	#	#	#	#
M01	con50sc	4000tt	9	P10	#	#	#	#599#	#	#	#510#
M01	con50sc	4000tt	10	P10	#624#	#	#	#74#	#	#	#453#
M01	con50sc	4000tt	11	P10	#	#	#	#	#	#	#
M01	con50sc	4000tt	12	P10	#	#	#	#	#	#	#
M01	pair33sc	4000tt	1	P01	#1#28#396#603#	#152#184#358#588#	#261#402#539#567#	#17#86#388#470#	#22#104#409#607#	#45#211#259#576#	#
M01	pair33sc	4000tt	2	P01	#48#395#397#417#477#522#578#	#42#107#112#115#189#238#260#381#569#620#	#14#19#130#310#482#492#534#592#	#314#515#	#122#128#286#623#	#	#
M01	pair33sc	4000tt	3	P01	#20#47#52#272#337#434#602#	#209#283#356#387#541#600#	#14#384#406#482#	#363#511#	#506#524#545#601#606#	#110#134#206#361#597#	#
M01	pair33sc	4000tt	4	P01	#344#383#417#495#496#	#275#281#305#458#477#523#552#	#272#342#365#368#416#433#468#489#520#524#544#591#	#233#294#361#461#487#545#	#594#	#428#	#
M01	pair33sc	4000tt	5	P01	#257#	#185#269#351#361#384#447#	#266#293#350#419#427#471#617#	#215#284#287#366#371#439#	#391#493#515#	#37#413#500#	#
M01	pair33sc	4000tt	6	P01	#239#337#424#433#	#298#358#476#578#	#346#466#520#547#	#261#309#393#395#	#201#295#390#616#	#30#134#318#430#	#
